"filename", "language", "YAML", "Properties", "JSON", "TypeScript", "JSON with Comments", "Markdown", "HTML", "Vue", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\src\stores\Matching.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"e:\hc\外包\employee-Profiling\src\stores\chart.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"e:\hc\外包\employee-Profiling\src\stores\employee.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 10, 67
"e:\hc\外包\employee-Profiling\src\stores\loading.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 4, 27
"e:\hc\外包\employee-Profiling\src\stores\performance.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"e:\hc\外包\employee-Profiling\src\stores\post.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"e:\hc\外包\employee-Profiling\src\stores\tag.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\hc\外包\employee-Profiling\src\stores\users.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"e:\hc\外包\employee-Profiling\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 5, 36
"e:\hc\外包\employee-Profiling\src\styles\iconfont.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 14, 61
"e:\hc\外包\employee-Profiling\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 10, 39, 257
"e:\hc\外包\employee-Profiling\src\util\http.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 2, 8, 98
"e:\hc\外包\employee-Profiling\src\util\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"e:\hc\外包\employee-Profiling\src\views\AccountManage\AccountManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 18, 200
"e:\hc\外包\employee-Profiling\src\views\Charts\Charts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 3, 60
"e:\hc\外包\employee-Profiling\src\views\Charts\components\PostChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 9, 153
"e:\hc\外包\employee-Profiling\src\views\Charts\components\SmallChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"e:\hc\外包\employee-Profiling\src\views\Charts\components\TagChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 6, 91
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 8, 128
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\components\EmployeeInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 5, 358
"e:\hc\外包\employee-Profiling\src\views\Information\Information.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 690, 0, 0, 0, 0, 19, 709
