Date : 2023-08-21 20:23:09
Directory : e:\hc\外包\employee-Profiling
Total : 67 files,  16001 codes, 117 comments, 1299 blanks, all 17417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          3 |      8,286 |          0 |        873 |      9,159 |
| Vue                |         34 |      3,988 |         16 |        256 |      4,260 |
| XML                |          3 |      2,216 |          0 |          1 |      2,217 |
| TypeScript         |         16 |      1,007 |         79 |         94 |      1,180 |
| SCSS               |          3 |        285 |         11 |         58 |        354 |
| JSON               |          2 |         89 |          0 |          2 |         91 |
| JavaScript         |          2 |         74 |          4 |          2 |         80 |
| JSON with Comments |          1 |         25 |          7 |          4 |         36 |
| Markdown           |          1 |         13 |          0 |          8 |         21 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Properties         |          1 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         67 |     16,001 |        117 |      1,299 |     17,417 |
| . (Files)                                                                          |         11 |      8,485 |         19 |        893 |      9,397 |
| public                                                                             |          1 |      2,214 |          0 |          1 |      2,215 |
| src                                                                                |         55 |      5,302 |         98 |        405 |      5,805 |
| src (Files)                                                                        |          3 |         69 |          6 |         16 |         91 |
| src\api                                                                            |          2 |        222 |         50 |         12 |        284 |
| src\assets                                                                         |          2 |          2 |          0 |          0 |          2 |
| src\assets\svg                                                                     |          2 |          2 |          0 |          0 |          2 |
| src\components                                                                     |          4 |        190 |          0 |         16 |        206 |
| src\components\employeeTagCard                                                     |          1 |         38 |          0 |          3 |         41 |
| src\components\noResultYet                                                         |          1 |         33 |          0 |          3 |         36 |
| src\components\svgIcon                                                             |          1 |         35 |          0 |          3 |         38 |
| src\components\userInfos                                                           |          1 |         84 |          0 |          7 |         91 |
| src\declare                                                                        |          1 |          9 |          0 |          2 |         11 |
| src\layouts                                                                        |          4 |        246 |          5 |         22 |        273 |
| src\layouts (Files)                                                                |          1 |         39 |          1 |          3 |         43 |
| src\layouts\components                                                             |          3 |        207 |          4 |         19 |        230 |
| src\router                                                                         |          1 |        346 |          9 |          8 |        363 |
| src\stores                                                                         |          8 |        260 |          9 |         49 |        318 |
| src\styles                                                                         |          3 |        285 |         11 |         58 |        354 |
| src\util                                                                           |          2 |        156 |          2 |          9 |        167 |
| src\views                                                                          |         25 |      3,517 |          6 |        213 |      3,736 |
| src\views\AccountManage                                                            |          1 |        182 |          0 |         18 |        200 |
| src\views\Charts                                                                   |          4 |        355 |          1 |         21 |        377 |
| src\views\Charts (Files)                                                           |          1 |         56 |          1 |          3 |         60 |
| src\views\Charts\components                                                        |          3 |        299 |          0 |         18 |        317 |
| src\views\EmployeePortrait                                                         |          2 |        473 |          0 |         13 |        486 |
| src\views\EmployeePortrait (Files)                                                 |          1 |        120 |          0 |          8 |        128 |
| src\views\EmployeePortrait\components                                              |          1 |        353 |          0 |          5 |        358 |
| src\views\Information                                                              |          3 |        801 |          1 |         39 |        841 |
| src\views\Information (Files)                                                      |          1 |         33 |          1 |          3 |         37 |
| src\views\Information\components                                                   |          2 |        768 |          0 |         36 |        804 |
| src\views\Login                                                                    |          1 |        163 |          1 |         20 |        184 |
