"filename", "language", "Properties", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "Markdown", "XML", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\vscode-workspace\me\employee-profiling\src\stores\model.ts", "TypeScript", 0, 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 31, 10, 413
"e:\vscode-workspace\me\employee-profiling\src\stores\performance.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 10, 8, 60
"e:\vscode-workspace\me\employee-profiling\src\stores\post.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"e:\vscode-workspace\me\employee-profiling\src\stores\tag.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\vscode-workspace\me\employee-profiling\src\stores\users.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"e:\vscode-workspace\me\employee-profiling\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 5, 36
"e:\vscode-workspace\me\employee-profiling\src\styles\iconfont.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 14, 61
"e:\vscode-workspace\me\employee-profiling\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 11, 38, 250
"e:\vscode-workspace\me\employee-profiling\src\utils\http.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 2, 8, 98
"e:\vscode-workspace\me\employee-profiling\src\utils\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\vscode-workspace\me\employee-profiling\src\views\AccountManage\AccountManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 21, 215
"e:\vscode-workspace\me\employee-profiling\src\views\Charts\Charts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 5, 79
"e:\vscode-workspace\me\employee-profiling\src\views\Charts\components\PostChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 12, 164
"e:\vscode-workspace\me\employee-profiling\src\views\Charts\components\SmallChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 4, 87
"e:\vscode-workspace\me\employee-profiling\src\views\Charts\components\TagChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 13, 139
"e:\vscode-workspace\me\employee-profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 13, 200
"e:\vscode-workspace\me\employee-profiling\src\views\EmployeePortrait\components\EmployeeInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 83, 12, 529
"e:\vscode-workspace\me\employee-profiling\src\views\ExamineApprove\ExamineApprove.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 10, 110
"e:\vscode-workspace\me\employee-profiling\src\views\Information\Information.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
